"goal","condition","diet_type","foods","avoid","hydration","meal_tip"
"strength building","wrist pain","anti inflammatory","protein smoothie and nuts","deep fried food","electrolyte hydration","consume healthy fats moderately"
"heart health","high blood pressure","high hydration","paneer and chapati","deep fried food","electrolyte hydration","include vegetables in every meal"
"endurance building","knee pain","high hydration","tofu and quinoa","processed snacks","4l water","reduce processed food intake"
"mobility improvement","obesity","anti inflammatory","oats and eggs","fast food","4l water","eat smaller meals frequently"
"heart health","elbow pain","high protein","chickpeas and salad","processed snacks","electrolyte hydration","maintain consistent meal timing"
"endurance building","hamstring strain","high fiber","sweet potato and fish","junk food","electrolyte hydration","track calorie intake"
"lean muscle","hip pain","diabetic friendly","avocado toast and eggs","processed snacks","3l water","eat slowly and mindfully"
"calorie burning","carpal tunnel syndrome","calorie surplus","millets and vegetables","high sodium food","3.5l water","increase protein intake"
"mobility improvement","shoulder pain","high hydration","avocado toast and eggs","sugary drinks","electrolyte hydration","maintain consistent meal timing"
"fat loss","shoulder pain","high fiber","sweet potato and fish","junk food","3.5l water","reduce processed food intake"
"strength building","lower back pain","balanced diet","paneer and chapati","high sodium food","3.5l water","eat slowly and mindfully"
"calorie burning","lower back pain","diabetic friendly","chickpeas and salad","alcohol","3l water","include vegetables in every meal"
"muscle gain","sciatica","balanced diet","salmon and vegetables","soft drinks","electrolyte hydration","avoid late night eating"
"fat loss","wrist pain","calorie deficit","banana and peanut butter","fast food","2.5l water","prefer home cooked meals"
"fat loss","obesity","balanced diet","chickpeas and salad","alcohol","3l water","prefer home cooked meals"
"heart health","arthritis","low carb","greek yogurt and berries","excess salt","3.5l water","eat smaller meals frequently"
"weight loss","sciatica","balanced diet","grilled chicken and broccoli","high sodium food","2.5l water","include vegetables in every meal"
"core stability","elbow pain","balanced diet","banana and peanut butter","deep fried food","3l water","consume healthy fats moderately"
"heart health","diabetes","high protein","chickpeas and salad","excess salt","electrolyte hydration","increase protein intake"
"endurance building","hamstring strain","balanced diet","sweet potato and fish","soft drinks","2.5l water","include vegetables in every meal"
"calorie burning","obesity","low carb","sweet potato and fish","fast food","4l water","eat slowly and mindfully"
"core stability","hamstring strain","high protein","greek yogurt and berries","soft drinks","4l water","track calorie intake"
"mobility improvement","obesity","high protein","protein smoothie and nuts","high sodium food","2.5l water","maintain consistent meal timing"
"weight loss","sciatica","high hydration","millets and vegetables","processed snacks","2.5l water","include vegetables in every meal"
"heart health","rotator cuff injury","high fiber","grilled chicken and broccoli","fast food","electrolyte hydration","increase protein intake"
"fat loss","wrist pain","anti inflammatory","avocado toast and eggs","soft drinks","4l water","prefer home cooked meals"
"core stability","sciatica","diabetic friendly","millets and vegetables","deep fried food","electrolyte hydration","prefer home cooked meals"
"weight loss","high blood pressure","calorie deficit","lentils and rice","excess salt","3l water","consume healthy fats moderately"
"lean muscle","neck stiffness","high hydration","chickpeas and salad","high sodium food","4l water","consume healthy fats moderately"
"muscle gain","sciatica","high protein","lentils and rice","fast food","3.5l water","eat smaller meals frequently"
"endurance building","osteoporosis","calorie deficit","sweet potato and fish","excess salt","2.5l water","maintain consistent meal timing"
"fat loss","shoulder pain","low carb","greek yogurt and berries","processed snacks","3l water","track calorie intake"
"weight loss","carpal tunnel syndrome","low sodium","salmon and vegetables","deep fried food","3.5l water","track calorie intake"
