condition,exercise,precaution,goal,difficulty,steps
shoulder pain,wall push ups,avoid heavy lifting,mobility improvement,beginner,start with wall support and perform slow controlled repetitions
shoulder pain,arm circles,avoid jerky movements,flexibility,beginner,rotate arms slowly in small circles for thirty seconds
shoulder pain,band pull aparts,maintain proper posture,posture correction,intermediate,hold resistance band and pull gently across chest
shoulder pain,wall angels,stop if pain increases,rehabilitation,intermediate,stand against wall and slide arms upward slowly
shoulder pain,scapular squeezes,avoid overtraining,strength building,advanced,squeeze shoulder blades together and hold for five seconds
knee pain,seated leg raises,avoid deep squats,joint mobility,beginner,sit on chair and slowly raise one leg at a time
knee pain,mini squats,avoid twisting knees,strength building,intermediate,bend knees slightly while keeping back straight
knee pain,water walking,avoid impact exercises,pain relief,beginner,walk slowly in waist deep water for ten minutes
knee pain,cycling,use proper footwear,cardio fitness,intermediate,pedal with low resistance and maintain steady speed
knee pain,chair squats,avoid sudden movements,mobility improvement,advanced,sit and stand slowly using chair support
lower back pain,pelvic tilts,maintain neutral spine,pain relief,beginner,lie on floor and tilt pelvis gently upward
lower back pain,bird dog,avoid heavy deadlifts,core stability,intermediate,extend opposite arm and leg while balancing
lower back pain,cat cow stretch,avoid poor posture,flexibility,beginner,alternate between arching and rounding the back slowly
lower back pain,bridge holds,avoid prolonged sitting,strength building,intermediate,lift hips upward and hold for ten seconds
lower back pain,dead bug exercise,avoid twisting,rehabilitation,advanced,lower opposite arm and leg while keeping core tight
neck stiffness,chin tucks,avoid sudden neck movements,posture correction,beginner,pull chin backward slowly and hold briefly
neck stiffness,neck stretches,move slowly,flexibility,beginner,tilt neck gently side to side without forcing
neck stiffness,shoulder rolls,maintain upright posture,mobility improvement,intermediate,roll shoulders backward in controlled circles
neck stiffness,thoracic mobility drills,avoid slouching,pain relief,intermediate,rotate upper spine slowly while seated upright
neck stiffness,neck tilts,avoid sleeping awkwardly,rehabilitation,advanced,tilt head toward shoulder and hold stretch
ankle pain,ankle circles,avoid jumping,joint mobility,beginner,rotate ankle clockwise and counterclockwise slowly
ankle pain,heel toe raises,use support if needed,balance improvement,intermediate,raise heels and toes alternately while standing
ankle pain,toe raises,avoid uneven surfaces,strength building,beginner,lift toes upward while keeping heels grounded
ankle pain,single leg balance,hold nearby support,stability training,intermediate,balance on one foot for twenty seconds
ankle pain,calf raises,avoid high impact training,rehabilitation,advanced,lift heels slowly and lower with control
hip pain,glute bridges,avoid explosive movement,strength building,beginner,push hips upward while squeezing glutes
hip pain,clamshell exercise,avoid overextension,mobility improvement,intermediate,open knees sideways while lying on one side
hip pain,standing marches,avoid long sitting hours,pain relief,beginner,lift knees slowly while standing upright
hip pain,fire hydrants,avoid sudden twisting,hip stability,intermediate,raise bent leg sideways in controlled motion
hip pain,side leg raises,move in controlled motion,rehabilitation,advanced,lift upper leg slowly and lower gently
wrist pain,wrist flexor stretches,avoid repetitive strain,pain relief,beginner,extend arm and gently pull fingers backward
wrist pain,finger stretches,avoid lifting heavy objects,mobility improvement,beginner,spread fingers wide and hold for five seconds
wrist pain,wrist circles,keep wrist neutral,flexibility,intermediate,rotate wrists slowly in both directions
wrist pain,prayer stretch,avoid pressure on wrist,rehabilitation,intermediate,press palms together and lower hands gradually
