"condition","exercise","precaution","goal","difficulty","steps"
"shoulder pain","wall push ups","avoid heavy lifting","mobility improvement","Beginner","start with wall support and perform slow controlled repetitions"
"shoulder pain","arm circles","avoid jerky movements","flexibility","Beginner","rotate arms slowly in small circles for thirty seconds"
"shoulder pain","band pull aparts","maintain proper posture","posture correction","Intermediate","hold resistance band and pull gently across chest"
"shoulder pain","wall angels","stop if pain increases","rehabilitation","Intermediate","stand against wall and slide arms upward slowly"
"shoulder pain","scapular squeezes","avoid overtraining","strength building","Advanced","squeeze shoulder blades together and hold for five seconds"
"knee pain","seated leg raises","avoid deep squats","joint mobility","Beginner","sit on chair and slowly raise one leg at a time"
"knee pain","mini squats","avoid twisting knees","strength building","Intermediate","bend knees slightly while keeping back straight"
"knee pain","water walking","avoid impact exercises","pain relief","Beginner","walk slowly in waist deep water for ten minutes"
"knee pain","cycling","use proper footwear","cardio fitness","Intermediate","pedal with low resistance and maintain steady speed"
"knee pain","chair squats","avoid sudden movements","mobility improvement","Advanced","sit and stand slowly using chair support"
"lower back pain","pelvic tilts","maintain neutral spine","pain relief","Beginner","lie on floor and tilt pelvis gently upward"
"lower back pain","bird dog","avoid heavy deadlifts","core stability","Intermediate","extend opposite arm and leg while balancing"
"lower back pain","cat cow stretch","avoid poor posture","flexibility","Beginner","alternate between arching and rounding the back slowly"
"lower back pain","bridge holds","avoid prolonged sitting","strength building","Intermediate","lift hips upward and hold for ten seconds"
"lower back pain","dead bug exercise","avoid twisting","rehabilitation","Advanced","lower opposite arm and leg while keeping core tight"
"neck stiffness","chin tucks","avoid sudden neck movements","posture correction","Beginner","pull chin backward slowly and hold briefly"
"neck stiffness","neck stretches","move slowly","flexibility","Beginner","tilt neck gently side to side without forcing"
"neck stiffness","shoulder rolls","maintain upright posture","mobility improvement","Intermediate","roll shoulders backward in controlled circles"
"neck stiffness","thoracic mobility drills","avoid slouching","pain relief","Intermediate","rotate upper spine slowly while seated upright"
"neck stiffness","neck tilts","avoid sleeping awkwardly","rehabilitation","Advanced","tilt head toward shoulder and hold stretch"
"ankle pain","ankle circles","avoid jumping","joint mobility","Beginner","rotate ankle clockwise and counterclockwise slowly"
"ankle pain","heel toe raises","use support if needed","balance improvement","Intermediate","raise heels and toes alternately while standing"
"ankle pain","toe raises","avoid uneven surfaces","strength building","Beginner","lift toes upward while keeping heels grounded"
"ankle pain","single leg balance","hold nearby support","stability training","Intermediate","balance on one foot for twenty seconds"
"ankle pain","calf raises","avoid high impact training","rehabilitation","Advanced","lift heels slowly and lower with control"
"hip pain","glute bridges","avoid explosive movement","strength building","Beginner","push hips upward while squeezing glutes"
"hip pain","clamshell exercise","avoid overextension","mobility improvement","Intermediate","open knees sideways while lying on one side"
"hip pain","standing marches","avoid long sitting hours","pain relief","Beginner","lift knees slowly while standing upright"
"hip pain","fire hydrants","avoid sudden twisting","hip stability","Intermediate","raise bent leg sideways in controlled motion"
"hip pain","side leg raises","move in controlled motion","rehabilitation","Advanced","lift upper leg slowly and lower gently"
"wrist pain","wrist flexor stretches","avoid repetitive strain","pain relief","Beginner","extend arm and gently pull fingers backward"
"wrist pain","finger stretches","avoid lifting heavy objects","mobility improvement","Beginner","spread fingers wide and hold for five seconds"
